#A:alice B:bob 
#auth:NB2,['A', 'B']
#NB2:[[1, 'X2'], [2, 'X7'], [3, 'X12'], [4, 'X17'], [5, 'X22'], [6, 'X27'], [7, 'X32'], [8, 'X37'], [9, 'X42'], [10, 'X47']]
#timestamp,session,step,active_part,passive_part,action,msg_content,msg_type
19:18:59:517,4,1,bob,-,generateNumber,X18,anbxj.Crypto_ByteArray
19:18:59:532,4,1,bob,-,AnBx_Params,X19;X18,anbxj.AnBx_Params
19:18:59:538,4,1,bob,alice,sent,X19;X18,javax.crypto.SealedObject
19:18:59:580,4,1,alice,bob,received,X19;X18,javax.crypto.SealedObject
19:18:59:588,4,1,alice,-,eq_check,X19,anbxj.Crypto_ByteArray.toString
19:18:59:591,4,2,alice,bob,sent,@173ed316,javax.crypto.SealedObject
19:18:59:631,4,2,bob,alice,received,@173ed316,javax.crypto.SealedObject
19:18:59:632,4,2,bob,-,eq_check,X20,anbxj.Crypto_ByteArray.toString
19:18:59:633,4,3,bob,alice,sent,@229c6181,javax.crypto.SealedObject
19:18:59:678,4,3,alice,bob,received,@229c6181,javax.crypto.SealedObject
19:18:59:679,4,3,alice,-,inv_check,X18,anbxj.Crypto_ByteArray.toString
19:18:59:681,4,3,alice,-,inv_check,X17,anbxj.Crypto_ByteArray.toString
19:18:59:682,5,0,alice,-,generateNumber,X21,anbxj.Crypto_ByteArray
19:18:59:693,5,0,alice,-,AnBx_Params,X1;X21,anbxj.AnBx_Params
19:18:59:696,5,0,alice,-,AnBx_Params,alice;X1;X21,anbxj.AnBx_Params
19:18:59:697,5,0,alice,bob,sent,alice;X1;X21,javax.crypto.SealedObject
19:18:59:742,5,0,bob,alice,received,alice;X1;X21,javax.crypto.SealedObject
19:18:59:751,5,0,bob,-,AnBx_Params,X1;X21,anbxj.AnBx_Params
19:18:59:752,5,0,bob,-,inv_check,X21,anbxj.Crypto_ByteArray.toString
19:18:59:752,5,0,bob,-,eq_check,alice,java.lang.String.toString
19:18:59:752,5,1,bob,-,generateNumber,X22,anbxj.Crypto_ByteArray
19:18:59:766,5,1,bob,-,generateNumber,X23,anbxj.Crypto_ByteArray
19:18:59:779,5,1,bob,-,AnBx_Params,X24;X23,anbxj.AnBx_Params
19:18:59:781,5,1,bob,alice,sent,X24;X23,javax.crypto.SealedObject
19:18:59:822,5,1,alice,bob,received,X24;X23,javax.crypto.SealedObject
19:18:59:831,5,1,alice,-,eq_check,X24,anbxj.Crypto_ByteArray.toString
