#session,step,active_part,passive_part,action,msg_content,msg_type
5,0,bob,-,eq_check,alice,java.lang.String.toString
5,1,bob,-,generateNumber,X22,anbxj.Crypto_ByteArray
5,1,bob,-,generateNumber,X23,anbxj.Crypto_ByteArray
5,1,bob,-,AnBx_Params,X24;X23,anbxj.AnBx_Params
5,1,bob,alice,sent,@6c1a5b54,javax.crypto.SealedObject
5,1,alice,bob,received,@6c1a5b54,javax.crypto.SealedObject
5,1,alice,-,eq_check,X24,anbxj.Crypto_ByteArray.toString
5,2,alice,bob,sent,@1a75e76a,javax.crypto.SealedObject
5,2,bob,alice,received,@1a75e76a,javax.crypto.SealedObject
5,2,bob,-,eq_check,X25,anbxj.Crypto_ByteArray.toString
5,3,bob,alice,sent,@1a942c18,javax.crypto.SealedObject
5,3,alice,bob,received,@1a942c18,javax.crypto.SealedObject
5,3,alice,-,inv_check,X23,anbxj.Crypto_ByteArray.toString
5,3,alice,-,inv_check,X22,anbxj.Crypto_ByteArray.toString
6,0,alice,-,generateNumber,X26,anbxj.Crypto_ByteArray
6,0,alice,-,AnBx_Params,X1;X26,anbxj.AnBx_Params
6,0,alice,-,AnBx_Params,alice;@7c137fd5,anbxj.AnBx_Params
6,0,alice,bob,sent,alice;@7c137fd5,javax.crypto.SealedObject
6,0,bob,alice,received,alice;@7c137fd5,javax.crypto.SealedObject
6,0,bob,-,AnBx_Params,X1;X26,anbxj.AnBx_Params
6,0,bob,-,inv_check,X26,anbxj.Crypto_ByteArray.toString
6,0,bob,-,eq_check,alice,java.lang.String.toString
6,1,bob,-,generateNumber,X27,anbxj.Crypto_ByteArray
6,1,bob,-,generateNumber,X28,anbxj.Crypto_ByteArray
6,1,bob,-,AnBx_Params,X29;X28,anbxj.AnBx_Params
6,1,bob,alice,sent,@6892b3b6,javax.crypto.SealedObject
6,1,alice,bob,received,@6892b3b6,javax.crypto.SealedObject
6,1,alice,-,eq_check,X29,anbxj.Crypto_ByteArray.toString
6,2,alice,bob,sent,@43df23d3,javax.crypto.SealedObject
6,2,bob,alice,received,@43df23d3,javax.crypto.SealedObject
6,2,bob,-,eq_check,X30,anbxj.Crypto_ByteArray.toString
6,3,bob,alice,sent,@5b1669c0,javax.crypto.SealedObject
6,3,alice,bob,received,@5b1669c0,javax.crypto.SealedObject
6,3,alice,-,inv_check,X28,anbxj.Crypto_ByteArray.toString
6,3,alice,-,inv_check,X27,anbxj.Crypto_ByteArray.toString
7,0,alice,-,generateNumber,X31,anbxj.Crypto_ByteArray
7,0,alice,-,AnBx_Params,X1;X31,anbxj.AnBx_Params
7,0,alice,-,AnBx_Params,alice;@4c163e3,anbxj.AnBx_Params
7,0,alice,bob,sent,alice;@4c163e3,javax.crypto.SealedObject
7,0,bob,alice,received,alice;@4c163e3,javax.crypto.SealedObject
7,0,bob,-,AnBx_Params,X1;X31,anbxj.AnBx_Params
7,0,bob,-,inv_check,X31,anbxj.Crypto_ByteArray.toString
7,0,bob,-,eq_check,alice,java.lang.String.toString
7,1,bob,-,generateNumber,X32,anbxj.Crypto_ByteArray
7,1,bob,-,generateNumber,X33,anbxj.Crypto_ByteArray
7,1,bob,-,AnBx_Params,X34;X33,anbxj.AnBx_Params
7,1,bob,alice,sent,@3b0fe47a,javax.crypto.SealedObject
7,1,alice,bob,received,@3b0fe47a,javax.crypto.SealedObject
7,1,alice,-,eq_check,X34,anbxj.Crypto_ByteArray.toString
7,2,alice,bob,sent,@5b799640,javax.crypto.SealedObject
7,2,bob,alice,received,@5b799640,javax.crypto.SealedObject
7,2,bob,-,eq_check,X35,anbxj.Crypto_ByteArray.toString
7,3,bob,alice,sent,@74d1dc36,javax.crypto.SealedObject
7,3,alice,bob,received,@74d1dc36,javax.crypto.SealedObject
7,3,alice,-,inv_check,X33,anbxj.Crypto_ByteArray.toString
7,3,alice,-,inv_check,X32,anbxj.Crypto_ByteArray.toString
8,0,alice,-,generateNumber,X36,anbxj.Crypto_ByteArray
8,0,alice,-,AnBx_Params,X1;X36,anbxj.AnBx_Params
8,0,alice,-,AnBx_Params,alice;@480d3575,anbxj.AnBx_Params
8,0,alice,bob,sent,alice;@480d3575,javax.crypto.SealedObject
8,0,bob,alice,received,alice;@480d3575,javax.crypto.SealedObject
